"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000367851","0.049","0.1","0.9","0.099","0.0",,"0.0","0.998","0.984"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000362057","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000362057","0.0","0.106","0.9","0.095","0.0",,"0.0","0.998","0.984"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000367668","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000367668","0.0","0.0","0.0","0.0","0.0",,"0.0","0.468","0.468"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357711","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357711","0.05","0.0","0.0","0.0","0.0",,"0.0","0.478","0.474"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000361366","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000361366","0.104","0.0","0.0","0.0","0.0",,"0.0","0.486","0.45"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357704","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357704","0.13","0.0","0.0","0.0","0.0",,"0.0","0.506","0.455"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000318585","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000318585","0.055","0.0","0.0","0.0","0.0",,"0.0","0.559","0.552"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357727","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357727","0.268","0.0","0.0","0.0","0.0",,"0.0","0.595","0.469"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000291700","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000291700","0.0","0.0","0.0","0.0","0.0",,"0.0","0.6","0.6"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000362057","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000362057","0.095","0.0","0.0","0.0","0.0",,"0.0","0.605","0.582"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357721","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357721","0.256","0.0","0.0","0.0","0.0",,"0.0","0.656","0.556"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000436126","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000436126","0.056","0.0","0.0","0.0","0.0",,"0.0","0.701","0.697"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000264896","0.06","0.0","0.0","0.0","0.0",,"0.0","0.712","0.706"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000415743","0.109","0.0","0.0","0.0","0.0",,"0.0","0.727","0.706"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000384906","0.058","0.0","0.0","0.0","0.0",,"0.0","0.73","0.726"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000367851","0.181","0.0","0.0","0.0","0.0",,"0.0","0.746","0.702"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357726","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000357726","0.268","0.0","0.0","0.0","0.0",,"0.0","0.762","0.688"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000302961","0.056","0.0","0.0","0.0","0.0",,"0.0","0.776","0.773"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000380948","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000380948","0.233","0.0","0.0","0.0","0.0",,"0.0","0.786","0.733"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000364210","0.102","0.0","0.0","0.0","0.0",,"0.0","0.794","0.781"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000371067","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000371067","0.11","0.0","0.0","0.0","0.0",,"0.0","0.806","0.79"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000284981","0.042","0.0","0.0","0.0","0.0",,"0.0","0.828","0.828"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000295897","0.0","0.0","0.0","0.0","0.0",,"0.0","0.836","0.836"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000345347","0.0","0.0","0.0","0.292","0.0",,"0.0","0.97","0.959"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000353874","0.0","0.0","0.0","0.0","0.0",,"0.0","0.975","0.975"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000363089","0.181","0.0","0.0","0.0","0.0",,"0.0","0.986","0.984"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000385675","0.515","0.0","0.4","0.0","0.0",,"0.0","0.996","0.989"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000398698","0.616","0.0","0.4","0.0","0.0",,"0.0","0.998","0.993"
"pp","9606.ENSP00000263341 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000263341 (pp) 9606.ENSP00000498321","0.115","0.0","0.5","0.0","0.0",,"0.0","0.999","0.998"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000353874","0.0","0.0","0.0","0.0","0.0",,"0.0","0.47","0.47"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000367851","0.094","0.0","0.0","0.0","0.0",,"0.0","0.506","0.477"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000436126","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000436126","0.0","0.0","0.0","0.0","0.0",,"0.0","0.518","0.518"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000384906","0.0","0.0","0.0","0.0","0.0",,"0.0","0.522","0.522"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000357727","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000357727","0.061","0.0","0.0","0.112","0.0",,"0.0","0.572","0.528"
