interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.997,0.0,0.0,0.0,0.997
pp,0.999,0.603,0.0,0.0,0.999
pp,0.999,0.445,0.078,0.0,0.998
pp,0.702,0.0,0.048,0.0,0.7
pp,0.703,0.0,0.055,0.0,0.699
pp,0.709,0.0,0.058,0.0,0.432
pp,0.801,0.0,0.0,0.0,0.62
pp,0.824,0.0,0.0,0.0,0.662
pp,0.85,0.359,0.048,0.0,0.774
pp,0.853,0.0,0.047,0.0,0.595
pp,0.9,0.0,0.087,0.0,0.895
pp,0.945,0.0,0.042,0.0,0.912
pp,0.97,0.0,0.057,0.0,0.97
pp,0.976,0.0,0.049,0.0,0.934
pp,0.995,0.0,0.049,0.0,0.995
pp,0.755,0.0,0.074,0.0,0.746
pp,0.758,0.0,0.084,0.0,0.746
pp,0.795,0.0,0.072,0.0,0.789
pp,0.797,0.05,0.107,0.0,0.78
pp,0.824,0.335,0.074,0.0,0.738
pp,0.845,0.0,0.075,0.0,0.839
pp,0.895,0.0,0.058,0.0,0.893
pp,0.896,0.0,0.088,0.0,0.891
pp,0.979,0.0,0.063,0.0,0.803
pp,0.988,0.0,0.056,0.0,0.883
pp,0.748,0.05,0.276,0.0,0.664
pp,0.834,0.0,0.187,0.0,0.804
pp,0.86,0.057,0.354,0.0,0.789
pp,0.889,0.0,0.088,0.0,0.884
pp,0.968,0.0,0.183,0.0,0.93
pp,0.992,0.0,0.098,0.0,0.992
pp,0.996,0.292,0.37,0.0,0.985
pp,0.999,0.586,0.306,0.054,0.982
pp,0.701,0.0,0.111,0.0,0.678
pp,0.768,0.045,0.103,0.0,0.751
pp,0.994,0.0,0.083,0.0,0.994
pp,0.733,0.0,0.077,0.0,0.723
pp,0.766,0.0,0.091,0.0,0.607
pp,0.777,0.0,0.368,0.0,0.663
pp,0.796,0.0,0.088,0.0,0.785
pp,0.872,0.0,0.145,0.0,0.856
pp,0.928,0.0,0.186,0.0,0.916
pp,0.941,0.0,0.196,0.0,0.93
pp,0.948,0.0,0.376,0.0,0.921
pp,0.958,0.0,0.132,0.0,0.555
pp,0.978,0.421,0.421,0.047,0.442
pp,0.989,0.292,0.183,0.0,0.841
pp,0.755,0.162,0.654,0.055,0.21
pp,0.988,0.41,0.091,0.0,0.981
pp,0.755,0.0,0.172,0.0,0.717
pp,0.983,0.9,0.0,0.0,0.84
pp,0.863,0.309,0.4,0.0,0.698
pp,0.876,0.0,0.0,0.0,0.876
pp,0.936,0.0,0.118,0.0,0.931
pp,0.707,0.0,0.239,0.0,0.631
pp,0.724,0.0,0.442,0.0,0.527
pp,0.94,0.0,0.892,0.079,0.452
pp,0.97,0.093,0.218,0.0,0.962
pp,0.999,0.41,0.106,0.0,0.997
pp,0.792,0.046,0.29,0.0,0.458
pp,0.806,0.112,0.181,0.0,0.53
pp,0.969,0.093,0.198,0.0,0.926
pp,0.775,0.417,0.055,0.0,0.281
pp,0.794,0.419,0.076,0.0,0.322
pp,0.852,0.11,0.079,0.0,0.683
pp,0.904,0.068,0.057,0.0,0.0
pp,0.93,0.21,0.049,0.0,0.186
pp,0.932,0.33,0.0,0.05,0.059
pp,0.933,0.11,0.089,0.0,0.275
pp,0.947,0.133,0.074,0.0,0.422
pp,0.952,0.189,0.057,0.0,0.446
pp,0.954,0.352,0.056,0.0,0.337
pp,0.957,0.411,0.055,0.0,0.328
pp,0.957,0.07,0.0,0.0,0.578
pp,0.97,0.295,0.089,0.0,0.593
pp,0.999,0.908,0.081,0.0,0.899
pp,0.707,0.0,0.047,0.0,0.706
pp,0.717,0.044,0.156,0.0,0.678
pp,0.728,0.0,0.058,0.0,0.723
pp,0.784,0.0,0.087,0.0,0.773
pp,0.891,0.0,0.134,0.0,0.879
pp,0.918,0.0,0.075,0.0,0.915
pp,0.992,0.0,0.135,0.0,0.984
pp,0.776,0.0,0.488,0.0,0.582
pp,0.831,0.0,0.461,0.105,0.484
pp,0.851,0.287,0.573,0.104,0.228
pp,0.985,0.0,0.501,0.0,0.946
pp,0.956,0.0,0.427,0.047,0.3
pp,0.979,0.0,0.426,0.0,0.935
pp,0.702,0.0,0.055,0.0,0.518
pp,0.705,0.0,0.27,0.0,0.612
pp,0.713,0.0,0.267,0.0,0.625
pp,0.93,0.0,0.207,0.0,0.915
pp,0.934,0.0,0.18,0.0,0.923
pp,0.959,0.0,0.106,0.0,0.93
pp,0.963,0.0,0.178,0.0,0.587
pp,0.97,0.0,0.075,0.0,0.706
pp,0.925,0.0,0.074,0.0,0.256
pp,0.998,0.0,0.064,0.061,0.983
pp,0.999,0.292,0.062,0.0,0.999
pp,0.72,0.044,0.099,0.0,0.701
pp,0.721,0.063,0.105,0.0,0.694
pp,0.787,0.0,0.084,0.0,0.778
pp,0.811,0.058,0.109,0.0,0.432
pp,0.88,0.576,0.086,0.0,0.715
pp,0.904,0.057,0.098,0.0,0.897
pp,0.904,0.052,0.092,0.0,0.72
pp,0.917,0.299,0.099,0.0,0.809
pp,0.954,0.377,0.082,0.122,0.239
pp,0.967,0.069,0.05,0.0,0.677
pp,0.967,0.069,0.057,0.0,0.672
pp,0.989,0.709,0.049,0.065,0.646
pp,0.994,0.496,0.102,0.0,0.891
pp,0.999,0.65,0.056,0.096,0.976
pp,0.744,0.0,0.042,0.0,0.744
pp,0.793,0.1,0.18,0.0,0.741
pp,0.902,0.045,0.269,0.0,0.871
pp,0.912,0.0,0.173,0.0,0.898
pp,0.92,0.05,0.252,0.0,0.897
pp,0.924,0.086,0.086,0.0,0.203
pp,0.934,0.094,0.124,0.0,0.273
pp,0.94,0.0,0.0,0.0,0.94
